"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Statewide"
"2019|02",123665,24494,188301,70350,765206,94215,59519,14237,12655,346231,244614,23033,31722,213041,207659,72432,118139,200512,60347,25287,53164,158225,161070,95915,70251,134488,39288,44797,59921,23134,91875,44472,286765,186788,29609,299289,114486,93653,248746,27584,102947,27563,178323,469530,35109,22787,111061,146426,140562,118508,15066,6527061
"2019|03",138748,28409,213777,80969,867416,108083,67672,15726,14227,394959,275314,25741,35531,244316,235614,81617,134578,224350,68257,28557,59622,179420,181013,110116,79088,150417,44593,51937,68367,26376,102506,49601,322031,218408,33430,338395,131050,105997,279195,31074,117545,31522,204330,538460,40544,25760,125601,166672,158143,133979,17387,7406440
"2019|04",135098,28086,208431,79850,842739,105553,65919,15106,13724,386619,268082,24835,33814,238690,228321,79478,132618,217910,65929,28681,56281,174311,174725,106929,75787,146019,43298,50462,65410,25781,95866,48241,312029,212943,32666,329554,127544,102883,269511,30315,113886,30901,201019,524071,39923,25427,122272,162435,154339,131012,17260,7202583
"2019|05",137098,28813,211817,79360,856087,106870,66728,15467,13896,392909,274039,25336,34358,246879,232706,79702,135334,222856,66730,29793,57808,174227,177680,107706,76893,148247,44789,50816,65519,26515,95477,48682,317262,217551,33883,339118,129059,104168,273409,31151,117106,31357,205045,529918,40255,25879,126341,163459,158468,133723,17604,7325893
"2019|06",129851,27500,200942,73543,817766,101599,63931,14561,13049,373369,260595,24033,32592,238172,219264,74950,128246,211165,63338,29014,55729,162971,167847,100318,72525,140543,42356,48356,61926,25066,90186,45954,303354,205629,32335,323675,122697,98914,258496,30036,111219,29549,195305,502192,38105,24381,121214,155042,150367,127073,16295,6957135
"2019|07",133784,28934,206435,74907,843321,103488,65751,15171,13194,383984,267499,24718,33061,247732,223246,77102,131609,216117,65136,29590,56835,164019,171131,101018,74208,144093,43233,49781,63365,25586,90818,47033,308931,210498,32359,334789,127780,100962,259789,31369,112699,30485,200868,517618,39306,24995,124761,156502,155105,129870,16679,7131264
"2019|08",134019,29743,206651,75623,850856,103707,66028,14813,12910,387888,269632,24836,32847,251834,222806,77616,130738,216059,65566,30270,57272,163604,170714,100472,74342,143199,42911,50413,64228,26102,89347,46759,308536,211069,32265,337224,129800,100787,259573,31551,112579,30142,204698,524483,39648,24799,125725,154342,157388,129065,16963,7164442
"2019|09",133720,30308,202127,75735,844952,103025,64202,14389,12619,385620,266692,24270,31921,250798,221035,76905,130548,213874,65413,29873,56171,162681,165945,98434,73565,143561,42285,51286,64834,25017,86072,45733,301869,214442,31939,334742,130449,98436,255723,30993,113905,30011,205563,529593,38594,24452,124610,150805,157789,127921,16362,7111808
"2019|10",139692,31723,206468,79815,873007,107472,66095,14994,12867,403576,276375,24968,32742,263088,228348,80011,137873,223273,69354,31522,56774,170703,171224,103440,75584,152162,43128,55265,67921,25917,87452,46377,314627,223798,33157,349951,136804,101632,265496,32329,119965,31806,214576,551671,39945,25864,129935,156684,165620,133980,16700,7403750
"2019|11",134405,29923,192897,73642,827229,102266,63219,14035,12286,381176,264657,23722,30927,254886,216418,75023,131302,216604,66643,30722,54315,161633,162202,97617,69942,144696,40466,53117,64267,24764,82029,43294,301327,211656,32000,335188,131477,96271,251870,30926,112779,30490,203916,515452,37577,24067,124713,146842,161135,127012,15713,7030735
