"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Statewide"
"2011|06",39000,28791,107449,45775,548644,29543,34958,4606,16617,274510,37622,15574,13806,222032,140485,76112,74215,33002,47115,17679,69725,91032,206574,51057,38736,114344,20879,61598,69806,4254,69434,21028,261097,76777,7372,83792,113150,132464,121328,14844,22978,13131,53667,323542,24428,7043,28659,126543,40593,68339,7802,4153551
"2011|07",40091,29844,111840,47613,576479,31087,36178,4982,16953,284793,40300,15932,14823,226304,147303,78430,76949,31725,48333,17912,69147,96727,211632,53260,40202,121268,21782,63219,72309,4359,70949,21718,267813,80145,7477,87979,118234,138175,124998,15037,22842,13053,56560,338751,24894,7720,29357,132142,42140,70677,7417,4309854
"2011|08",39932,30958,113299,48081,583549,31171,36042,5215,16916,291231,42480,15877,14757,228225,150268,81051,79076,29736,49329,17572,67653,98823,211534,53626,42288,127071,23384,65127,73166,4390,71371,22361,268544,81986,7699,88907,120707,139160,124403,14678,23305,13779,62847,345675,25802,7858,28487,134224,43193,71278,7264,4375355
"2011|09",37026,30599,112446,46431,573701,30526,34376,5217,16075,286673,42958,15414,14131,223877,145434,81406,78782,27580,48583,16691,64317,98665,207633,53291,41347,125245,23589,64376,72262,4457,69166,21288,260802,81663,7910,86853,115378,135299,120167,14201,22150,13978,65235,338161,26665,8110,26850,132759,41959,70042,7106,4288850
"2011|10",36550,31235,118688,47719,601309,31979,35610,5355,16458,297247,44679,16363,14625,229381,149836,84732,81340,27897,49216,17037,65801,99713,212687,56079,42289,128774,24062,66684,73661,4715,70750,21088,265927,80507,8008,90170,116656,138129,124662,14600,22748,14029,67719,350523,27293,8585,26999,139052,43023,74968,7275,4424432
"2011|11",34242,29137,113876,46083,584768,30799,34366,5287,15914,286124,41892,15960,13765,218020,144152,79934,75927,24870,46973,16071,62541,95679,201580,52201,39444,122449,22680,63992,68811,4347,67043,20115,253040,73454,7223,86456,111995,133813,120303,14042,19805,13025,63949,333523,26015,8470,25174,134270,40141,72380,7288,4223408
"2011|12",33682,29064,118079,47321,601998,30889,36052,5596,15838,287773,42821,16307,13445,221702,149068,80577,75228,21508,47497,16267,63131,97071,203679,52130,40415,124998,22864,65381,68122,4498,68434,20693,255771,72415,7029,87347,111063,138073,123357,14297,19012,13222,65314,333270,26311,8364,24686,136504,39938,75372,7400,4280873
"2012|01",32966,28981,119735,46936,609895,30557,36394,5616,15603,287557,43701,16526,13465,220298,149805,81531,75770,18644,47433,16469,62586,95651,199273,51778,40494,124001,22724,66183,66951,4274,69781,21341,253321,70940,7078,87123,106567,137129,123463,14648,18150,12628,66463,335057,25166,7975,24278,134081,38981,75295,7125,4268387
"2012|02",30056,27433,116593,44216,577416,28883,35134,5263,14446,273878,42280,15479,12486,207743,140659,77257,71394,16156,44120,16164,58135,88032,184508,49171,39670,118039,21534,61971,64171,3864,66371,19346,237596,67581,6784,80912,101410,128900,116505,14011,16974,11641,64310,313741,24615,7372,22139,127338,36202,71295,7124,4028318
"2012|03",31730,30276,129893,47638,626576,32460,38821,5710,15370,297060,46716,16721,13221,225374,153680,84412,77403,16997,46617,17965,62774,93268,199337,54054,44284,133407,24216,66815,70169,4085,72084,20892,254669,74834,7722,88224,112750,138834,124281,15125,18040,12672,71137,338108,27640,7949,22374,137796,38317,76766,7798,4375061
