"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Statewide"
"2013|04",49300,6010,83890,41852,205928,59468,23679,6189,30,127992,79212,2531,19311,84726,86604,59383,63786,136448,32567,16071,17777,65431,84144,39697,24943,104566,14225,41160,30075,12285,32519,8653,100539,76512,13440,145620,58175,66446,114516,16575,37484,7376,105169,146598,28448,17279,55324,80910,79543,49490,14868,2874764
"2013|05",50621,5947,84605,42241,207987,60147,24715,6143,31,128456,81299,2574,19627,86599,89219,60014,65610,141063,32059,16675,18282,66154,84881,40314,25734,107321,14293,41501,30379,12521,33407,8893,103931,77665,13685,150061,58760,67312,118214,16566,38529,7287,107499,149100,28279,17294,57031,82500,81031,50261,15682,2929999
"2013|06",48451,5592,80891,39180,197805,56670,24114,5671,31,122084,76678,2288,18910,83528,86473,55528,61876,135564,29494,16036,17448,63125,81614,37249,24889,102667,13507,38615,28967,11592,32209,8654,100736,73197,12551,142949,54786,64354,111362,15282,36347,6754,101049,140730,26705,16338,53870,79143,75841,47242,14604,2781240
"2013|07",49959,5777,83507,39354,201001,57703,24535,5386,31,123875,78017,2217,19382,86497,89070,57092,63478,139715,29778,16455,17445,63872,83579,37579,25920,105759,13371,38760,29208,11877,32995,9191,103403,74795,12678,147263,56137,65838,113345,15521,36165,6723,103631,144104,27430,16530,55573,81293,76600,47590,14825,2841829
"2013|08",50671,5800,84574,40586,203868,57405,24364,5162,31,124993,79086,2158,19584,85960,90352,57229,64344,140067,30507,16624,17411,65616,83617,37611,26619,106225,13239,37507,29742,12095,33247,9356,103311,76545,12631,148506,57685,66697,113178,15455,36648,6899,106171,146348,27177,16398,54780,82055,75727,47576,14377,2863814
"2013|09",50663,5589,85379,42271,202656,56500,23486,5165,30,125371,79125,2314,19378,84042,91363,57255,65445,139949,30032,16596,17168,66892,83604,37080,27558,106828,12926,36554,30136,11763,32437,9329,99151,78217,12904,146991,58278,66417,111053,15223,38246,7059,107297,146009,27325,16275,52754,81030,75069,45760,14267,2854209
"2013|10",52765,6153,89444,43991,211449,58740,23728,5535,31,131649,82305,2280,19752,88203,95541,60044,70295,147100,31518,17272,17441,70840,86707,38663,29250,113111,13051,38582,30968,12527,33435,9654,102395,81472,13827,154295,61327,69328,117046,16486,40332,7450,111029,152664,28578,17204,54549,83544,78531,47675,14770,2984526
"2013|11",50126,5734,84061,40903,198928,55949,22763,5256,31,124849,79133,2130,18697,84782,91162,56238,67002,141975,29420,16343,16508,66966,83006,36804,27522,108531,11973,36373,28661,12184,31811,8834,98110,78378,13539,148890,58406,67142,112601,15908,37543,7104,105329,143294,27415,16383,53425,79135,76210,45490,14042,2842999
"2013|12",50747,5510,84372,40642,200488,56760,22804,5155,31,124543,81167,2192,18668,86181,92135,57076,67998,145242,29483,16564,16634,67206,84525,37253,28038,110360,11616,35760,28086,12754,31980,8544,99194,80222,13804,151242,60008,68901,114162,15967,36510,7231,106843,145094,28069,16655,55057,80029,78125,46902,13923,2878452
"2014|01",50652,5412,84951,40248,197884,55748,22284,5182,42,122980,81596,2193,18132,84625,92368,56183,67045,144338,29783,16631,16534,67758,84066,37240,28211,110333,11575,35076,27532,13042,31883,8413,98916,80509,13566,150352,60170,68845,112543,15760,35791,7057,104858,146210,28024,16638,55122,79905,77255,46990,13823,2862274
"2014|02",46443,4927,78613,37881,179849,50892,19938,4881,28,113933,75847,2222,16321,76090,85178,50771,62196,133229,27342,15153,15086,62954,76806,34228,25715,102316,10713,32107,25538,12320,30316,7911,90947,74562,12476,137675,55314,63316,103260,14472,33707,6305,96084,135246,26566,15621,50799,73373,71205,43278,12918,2634868
"2014|03",53167,5669,88951,44643,204405,57336,22314,5411,24,130311,87565,2703,18521,85269,97467,57135,72577,151138,31590,17260,16487,72545,88173,39567,29616,117997,12185,35988,29579,14255,35167,9445,102155,88671,14450,155452,63520,71627,117931,16258,40137,7237,112557,155730,30189,17754,58737,83226,83304,50285,14989,3018669
"2014|04",52270,5588,87443,44915,199125,55850,21810,5238,0,128275,85238,2481,18348,82711,95664,55679,72119,148392,31073,17030,15633,70758,87398,39124,29362,117328,11844,34135,29023,14126,34021,9349,99030,87149,14252,150967,62402,69488,114739,15638,39883,7339,112352,153720,29969,17158,57641,81150,83549,49194,14461,2961431
"2014|05",53610,5723,90077,46680,200631,55912,22204,5440,0,130650,87898,2607,18399,84776,98299,56115,73169,152414,31747,17496,16444,71208,90156,39650,29695,120909,11956,33172,29322,14097,34943,9819,102330,89298,14199,154771,62918,70215,117787,15808,41396,7219,115739,156843,30685,17590,59705,82460,86529,50131,14293,3025134
"2014|06",50494,5580,86359,45232,191824,51776,20935,5216,0,124971,85174,2609,17095,81617,93980,53183,68805,146242,30117,16662,15722,67681,86872,37532,28179,115016,11166,29496,27967,13245,33742,9483,100066,85375,13032,147636,59863,66267,111786,15034,40236,6630,111350,149141,29125,16751,56632,78233,82412,47458,13177,2884176
"2014|07",51841,5827,89061,47097,197090,52629,21225,5192,0,129110,88225,2980,17468,83942,97075,54221,71370,150639,31163,17169,15842,68905,88306,39007,28661,118933,11468,28482,28729,13161,34440,9928,103744,87624,13340,152284,61669,67494,113775,15508,41908,6329,115382,153808,30034,16989,57763,79190,84183,47778,13320,2961308
"2014|08",52828,5519,90372,48176,198320,52329,20964,5298,0,130824,89414,3024,17425,83894,99258,53622,71655,151101,31951,17233,15865,69150,88263,38562,29409,120678,11561,27915,29016,12784,34651,10318,103755,89128,13329,153224,61572,66594,112778,15443,42197,6029,116696,156615,30483,17006,57523,79548,84025,48685,13271,2979280
"2014|09",53354,5214,90881,49013,198657,51527,20431,5286,0,131484,90234,3351,16804,82188,99717,53363,71594,148954,32870,16854,15352,69211,86322,37616,30232,122437,11387,28118,28965,12604,34052,10584,101017,91304,13020,151831,61076,66218,109569,14792,42628,5779,120182,156663,30267,17223,56179,78643,83810,48462,13433,2970752
