"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Statewide"
"2015|05",50590,20090,158798,33554,775594,65192,44899,11532,14073,194490,133180,17263,6472,154372,90767,33431,40730,55175,33290,10376,46587,102174,96853,66377,39170,58499,18412,28599,38816,5213,100665,36411,265967,119986,16302,137691,103397,41648,183605,19029,47143,16830,83561,332024,17434,2046,63489,80220,14703,69575,4254,4200548
"2015|06",48502,19434,153614,31862,740474,61462,42289,10887,13529,187112,126272,16665,6385,149335,85983,31426,38262,52483,31835,9782,45230,97690,92541,62217,36838,55627,17375,27105,37093,4971,97005,34509,255195,117609,15198,132982,97344,40352,173924,18215,44112,15923,83553,314057,16417,1841,61651,76653,14052,66061,3921,4014854
"2015|07",50409,20256,160397,32759,760727,63253,43156,10627,14114,192366,129475,17322,6567,153832,88526,32102,39170,53951,32411,10061,46933,99103,94989,63868,37612,56997,17818,28024,38046,4893,98924,36003,260547,124476,15826,137346,98783,41891,178493,18663,44071,16720,89525,321872,16442,1843,64237,78072,14429,66123,4160,4128210
"2015|08",52162,20367,163035,34314,767426,63375,42233,10623,14613,193554,129713,17620,6678,154127,89371,31910,39782,54133,32754,10226,47034,99202,96003,64564,37972,57296,17988,28079,38645,4783,99127,36546,261378,132381,16557,140011,99878,42327,179763,18638,43523,17121,96511,324227,16493,1883,64122,78684,14624,66839,4621,4174836
"2015|09",52686,20347,164640,36836,762944,64429,40575,10416,14968,193088,128059,17628,6775,150057,89080,31369,40441,53831,32683,10138,46627,98773,94519,64399,37796,58129,18172,27509,39732,5020,96387,36427,256292,148842,16289,139163,100672,41912,175957,18472,44258,17320,102091,322355,16371,1997,62255,78488,14346,65982,4593,4172135
"2015|10",54851,21368,172660,39538,791911,67717,41970,11068,15560,202277,133021,18308,7014,153573,93842,32444,42390,55695,33319,10566,47871,104962,98830,67598,39392,61109,19447,28515,41825,5369,99187,37820,265720,161215,16818,144753,104464,43162,180157,18973,46821,18284,110309,336922,17286,2127,64551,82448,14701,69186,4735,4353649
"2015|11",51819,19967,165755,36679,755499,64197,39628,10672,14764,192180,128064,17381,6797,143726,89794,30449,41143,53345,30565,10148,45964,100517,93613,64512,37202,57608,18649,27050,38829,5157,93944,35599,251936,155240,16733,138191,97682,40767,171918,18372,44277,17415,104944,315895,16228,2046,62183,78666,13955,65928,4481,4138073
"2015|12",52891,19870,168310,36848,768970,64607,40331,11036,15070,195701,130894,17619,6985,144309,91405,30937,41789,54516,30623,10214,46740,102110,94263,65900,37610,57931,19345,27470,39108,5442,94604,35567,254339,157981,16903,138816,97594,41141,175582,18301,44727,18209,106982,317727,16038,2198,64343,79438,14239,67694,4605,4195872
"2016|01",52986,19456,168124,35740,767213,64587,40747,11306,15292,194722,129985,17761,6864,140768,90617,31055,41462,54700,30191,10258,46317,101613,93192,64959,37456,57189,19220,27257,38725,5645,95265,35002,251007,158547,17018,138109,95366,41091,173471,17970,44356,17953,107498,318380,15791,2152,64650,79268,15101,67795,4672,4175869
"2016|02",50760,18486,159627,33533,724060,62058,38398,10864,14530,186662,123386,17142,6391,129182,86121,30120,39400,51842,28690,9926,44377,96923,87715,62260,35163,54507,18435,26293,36322,5523,91310,33422,234945,151519,16212,131080,90355,38872,164403,16301,43565,17096,102437,306856,15197,2072,60357,75866,14579,64604,4523,3964267
