"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","National"
"2019|06",1088409,180078,1640039,700223,8898471,1259839,727810,203554,128104,4229389,2504010,300018,448052,2819517,1568073,726923,700438,1003002,1087964,248885,1334818,1353328,2144699,1303182,698887,1370716,228566,476098,692453,255356,1938963,476047,4030096,2300641,180089,2578581,952263,866721,2635283,204588,1110942,217151,1509943,7398440,931184,114054,1860888,1662883,359751,1266955,133763,73050127
"2019|07",1088222,179903,1640416,700101,8891221,1259230,727116,203590,128224,4230438,2503764,299734,448329,2816428,1567890,726772,700089,1002766,1087344,248806,1334582,1352342,2143265,1303129,698323,1370487,228610,476050,692805,255164,1938262,475662,4026731,2300797,180241,2577543,952225,866413,2634033,204411,1111399,217046,1510149,7401026,931176,113963,1860836,1663211,359410,1266284,133709,73029667
"2019|08",1088054,179735,1640837,699996,8883430,1258559,726399,203640,128348,4231682,2503491,299428,448604,2813192,1567715,726626,699744,1002560,1086728,248730,1334382,1351338,2141790,1303048,697770,1370325,228666,475991,693182,254970,1937628,475291,4023276,2301034,180390,2576536,952220,866055,2632770,204218,1111894,216887,1510379,7403775,931132,113875,1860884,1663525,359074,1265593,133654,73009050
"2019|09",1087910,179578,1641288,699911,8875358,1257851,725681,203702,128470,4233076,2503201,299111,448869,2809915,1567553,726492,699414,1002391,1086134,248659,1334220,1350349,2140322,1302943,697242,1370230,228733,475923,693571,254780,1937079,474946,4019842,2301342,180532,2575591,952249,865658,2631533,204016,1112412,216681,1510625,7406594,931053,113792,1861026,1663815,358755,1264903,133599,72988920
"2019|10",1087790,179437,1641750,699845,8867306,1257131,724986,203773,128588,4234555,2502905,298796,449116,2806706,1567407,726371,699105,1002259,1085579,248596,1334098,1349403,2138908,1302820,696755,1370196,228806,475850,693958,254600,1936620,474633,4016537,2301701,180663,2574730,952304,865241,2630358,203812,1112931,216441,1510876,7409383,930948,113716,1861244,1664075,358460,1264238,133546,72969852
"2019|11",1087686,179301,1642251,699793,8858761,1256357,724268,203856,128709,4236202,2502585,298461,449365,2803358,1567267,726254,698798,1002150,1085024,248535,1334003,1348437,2137453,1302674,696273,1370216,228891,475767,694367,254417,1936213,474331,4013138,2302128,180792,2573889,952388,864780,2629164,203595,1113486,216156,1511148,7412321,930812,113641,1861545,1664324,358168,1263553,133492,72950543
"2019|12",1087601,179178,1642756,699755,8850302,1255582,723572,203944,128825,4237898,2502264,298130,449598,2800090,1567141,726148,698510,1002070,1084502,248479,1333937,1347512,2136049,1302517,695825,1370281,228980,475681,694771,254243,1935876,474055,4009862,2302590,180912,2573116,952491,864309,2628027,203379,1114037,215848,1511421,7415212,930658,113572,1861900,1664550,357896,1262891,133439,72932182
"2020|01",1087527,179057,1643297,699729,8841390,1254758,722853,204042,128945,4239742,2501922,297781,449834,2796687,1567018,726046,698221,1002009,1083977,248425,1333894,1346565,2134603,1302340,695378,1370390,229079,475586,695197,254066,1935580,473785,4006490,2303110,181031,2572356,952618,863798,2626868,203150,1114620,215500,1511714,7418242,930478,113503,1862324,1664768,357626,1262209,133384,72913512
"2020|02",1087465,178943,1643853,699712,8832331,1253913,722133,204147,129065,4241665,2501570,297426,450064,2793262,1566902,725948,697939,1001967,1083463,248374,1333871,1345624,2133161,1302150,694945,1370534,229183,475487,695628,253891,1935328,473529,4003129,2303668,181147,2571627,952761,863267,2625722,202916,1115214,215128,1512014,7421309,930280,113438,1862798,1664974,357364,1261527,133330,72895086
"2020|03",1087417,178840,1644384,699704,8823748,1253108,721460,204250,129176,4243522,2501234,297090,450275,2790042,1566799,725862,697681,1001941,1082992,248328,1333865,1344750,2131814,1301963,694550,1370695,229284,475391,696036,253729,1935125,473299,3999993,2304217,181252,2570970,952908,862756,2624660,202694,1115779,214762,1512301,7424206,930081,113378,1863277,1665158,357125,1260891,133279,72878041
"2020|04",1087373,178735,1644962,699703,8814482,1252235,720740,204363,129294,4245556,2500870,296728,450498,2786586,1566692,725772,697409,1001926,1082495,248281,1333871,1343821,2130377,1301755,694137,1370890,229396,475285,696476,253557,1934936,473061,3996647,2304826,181362,2570287,953076,862197,2623534,202454,1116390,214355,1512613,7427325,929858,113316,1863821,1665346,356875,1260211,133225,72859980
"2020|05",1087336,178635,1645529,699705,8805451,1251382,720044,204476,129409,4247558,2500513,296374,450711,2783232,1566592,725688,697149,1001919,1082020,248236,1333886,1342924,2128988,1301548,693743,1371093,229507,475181,696905,253392,1934772,472836,3993414,2305433,181467,2569640,953246,861648,2622449,202219,1116986,213950,1512919,7430360,929635,113257,1864368,1665523,356636,1259553,133173,72842610
"2020|06",1087301,178534,1646118,699711,8796079,1250494,719324,204595,129527,4249649,2500142,296008,450930,2779761,1566491,725603,696883,1001917,1081531,248191,1333907,1342000,2127553,1301332,693340,1371314,229623,475072,697350,253222,1934614,472608,3990076,2306070,181574,2568980,953426,861075,2621333,201975,1117605,213526,1513237,7433506,929399,113197,1864947,1665702,356392,1258874,133119,72824737
"2020|07",1087268,178437,1646690,699717,8786994,1249633,718627,204710,129641,4251680,2499782,295652,451142,2776399,1566394,725521,696626,1001917,1081060,248148,1333930,1341106,2126165,1301120,692952,1371530,229736,474965,697781,253057,1934466,472389,3986847,2306689,181677,2568345,953602,860518,2620253,201739,1118205,213112,1513545,7436555,929169,113139,1865512,1665874,356157,1258217,133067,72807457
"2020|08",1087234,178337,1647281,699724,8777607,1248743,717907,204829,129760,4253779,2499410,295285,451360,2772925,1566293,725436,696361,1001917,1080573,248103,1333953,1340182,2124731,1300902,692550,1371754,229852,474856,698227,252887,1934313,472162,3983510,2307330,181784,2567688,953784,859943,2619138,201494,1118825,212685,1513864,7439704,928931,113079,1866096,1666052,355914,1257539,133013,72789606
"2020|09",1087200,178236,1647872,699730,8768220,1247854,717187,204948,129878,4255878,2499038,294918,451579,2769452,1566192,725351,696095,1001917,1080086,248058,1333976,1339259,2123297,1300684,692148,1371978,229969,474746,698672,252717,1934160,471935,3980174,2307970,181891,2567032,953966,859368,2618023,201250,1119446,212258,1514182,7442854,928693,113019,1866680,1666230,355671,1256860,132958,72771755
"2020|10",1087167,178139,1648444,699736,8759135,1246993,716490,205063,129992,4257909,2498678,294562,451790,2766090,1566095,725269,695838,1001917,1079615,248015,1333999,1338365,2121909,1300473,691760,1372195,230081,474640,699103,252553,1934012,471715,3976945,2308590,181994,2566397,954142,858811,2616943,201014,1120046,211844,1514491,7445903,928463,112961,1867245,1666403,355436,1256203,132906,72754479
"2020|11",1087133,178039,1649035,699743,8749747,1246103,715770,205182,130110,4260007,2498306,294195,452009,2762616,1565994,725184,695573,1001917,1079128,247970,1334022,1337441,2120475,1300255,691358,1372418,230198,474531,699549,252383,1933859,471488,3973608,2309231,182101,2565740,954324,858236,2615828,200769,1120666,211417,1514809,7449052,928225,112901,1867829,1666581,355193,1255524,132852,72736624
"2020|12",1087101,177941,1649607,699749,8740663,1245242,715073,205297,130225,4262039,2497946,293840,452220,2759254,1565897,725102,695316,1001917,1078657,247926,1334044,1336547,2119088,1300044,690969,1372635,230311,474424,699980,252219,1933711,471269,3970379,2309851,182204,2565105,954500,857679,2614749,200533,1121266,211003,1515118,7452101,927995,112843,1868395,1666753,354958,1254867,132800,72719352
"2021|01",1087067,177841,1650198,699756,8731275,1244352,714353,205416,130343,4264137,2497574,293472,452439,2755781,1565796,725018,695050,1001917,1078170,247882,1334068,1335624,2117654,1299825,690568,1372859,230427,474315,700425,252049,1933558,471042,3967042,2310491,182311,2564449,954682,857104,2613634,200289,1121886,210576,1515437,7455251,927757,112783,1868979,1666931,354715,1254188,132746,72701502
"2021|02",1087033,177741,1650789,699762,8721888,1243463,713633,205535,130461,4266236,2497201,293105,452657,2752307,1565695,724933,694785,1001917,1077683,247837,1334091,1334700,2116219,1299607,690166,1373083,230544,474205,700871,251879,1933405,470815,3963705,2311132,182418,2563792,954864,856529,2612518,200044,1122507,210148,1515755,7458401,927519,112724,1869563,1667109,354472,1253509,132692,72683647
"2021|03",1087002,177650,1651322,699768,8713409,1242659,712983,205643,130568,4268132,2496865,292773,452854,2749169,1565605,724856,694545,1001918,1077243,247796,1334112,1333866,2114924,1299410,689803,1373285,230649,474106,701273,251725,1933267,470610,3960691,2311710,182515,2563199,955029,856009,2611511,199824,1123067,209763,1516043,7461246,927305,112669,1870090,1667270,354252,1252896,132643,72667522
